property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category
flat,bolarum,1.0,1.0,0,Old Property,550.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,narsingi,2.0,2.0,1,Relatively New,1275.0,0.0,0.0,1.0,Medium,unfurnished,Low Floor
flat,gachibowli,3.0,3.0,3,Moderately Old,2690.0,0.0,0.0,1.0,High,furnished,Mid Floor
flat,old safilguda,2.0,2.0,0,Old Property,900.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kowkur,3.0,3.0,1,Moderately Old,1250.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,mallapur,2.0,2.0,1,New Property,1010.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,yapral,3.0,1.0,1,New Property,1650.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,turkapally,2.0,1.0,1,Moderately Old,715.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,bachupally,3.0,3.0,1,New Property,1147.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,narsingi,3.0,4.0,1,Relatively New,2540.0,1.0,1.0,1.0,Medium,unfurnished,Mid Floor
flat,kapra,2.0,2.0,2,Old Property,1000.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,nanakramguda,3.0,4.0,2,Relatively New,2615.0,0.0,1.0,1.0,Low,unfurnished,Low Floor
flat,bachupally,2.0,2.0,1,Relatively New,1250.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,defence colony,2.0,2.0,2,Moderately Old,1180.0,1.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,anand nagar colony,3.0,3.0,2,Moderately Old,1560.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,osmania university teachers colony,3.0,2.0,2,Old Property,1800.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,peeramcheru,3.0,2.0,1,Relatively New,1365.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,langer house,3.0,2.0,1,Relatively New,1365.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,appa junction,3.0,2.0,1,Relatively New,1365.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,peeramcheru,3.0,2.0,1,Relatively New,1365.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,gandhamguda,3.0,2.0,1,Relatively New,1365.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,sun city,3.0,3.0,1,Relatively New,1365.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,dilsukh nagar,2.0,2.0,1,Old Property,944.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,medchal,2.0,2.0,1,Old Property,730.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,turkapally,2.0,1.0,1,Old Property,723.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,karmanghat,2.0,2.0,2,Moderately Old,1017.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kapra,2.0,2.0,2,Old Property,1000.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
