property_type,sectors,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,pooja room,furnish_type,luxury_category,floor_category
flat,gandimaisamma,2.0,2.0,2.0,Under Construction,1100.0,0.0,1.0,unfurnished,Low,Low Floor
flat,gagan mahal,2.0,2.0,2.0,Old Property,1000.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,ghatkesar,2.0,2.0,1.0,New Property,905.0,0.0,0.0,semifurnished,Low,Low Floor
flat,ghatkesar,3.0,3.0,2.0,New Property,1360.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,muthangi,2.0,2.0,2.0,Relatively New,1185.0,0.0,0.0,furnished,High,Mid Floor
flat,madinaguda,3.0,2.0,1.0,New Property,1400.0,0.0,0.0,unfurnished,Low,Low Floor
flat,kokapet,3.0,3.0,3.0,Under Construction,2120.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,pocharam,2.0,2.0,1.0,Under Construction,1152.0,0.0,0.0,unfurnished,Medium,Low Floor
flat,kaali mandir,3.0,2.0,1.0,Relatively New,1365.0,0.0,0.0,unfurnished,Low,Low Floor
flat,pragathi nagar,3.0,3.0,2.0,Relatively New,1620.0,0.0,0.0,furnished,Low,Mid Floor
flat,pocharam,2.0,2.0,1.0,Relatively New,1205.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,manikonda,2.0,3.0,3.0,Moderately Old,1685.0,0.0,1.0,unfurnished,Low,Low Floor
flat,haripuri colony,3.0,3.0,0.0,Under Construction,1652.0,0.0,0.0,unfurnished,Low,Low Floor
flat,chandanagar,3.0,2.0,2.0,Old Property,1325.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,kondapur,2.0,2.0,2.0,Under Construction,1433.0,0.0,0.0,unfurnished,Low,High Floor
flat,narsingi,3.0,3.0,2.0,Relatively New,1770.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,osman nagar,3.0,3.0,3.0,Moderately Old,2350.0,0.0,0.0,semifurnished,Low,Low Floor
flat,kompally,2.0,2.0,1.0,New Property,1312.5499659999998,0.0,0.0,unfurnished,Low,Mid Floor
flat,chintalmet,3.0,3.0,1.0,Old Property,1765.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,manikonda,3.0,3.0,2.0,Relatively New,2270.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,sanath nagar,3.0,3.0,2.0,Old Property,1645.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,sundar nagar,4.0,3.0,2.0,Moderately Old,2700.0,0.0,0.0,unfurnished,Low,High Floor
flat,suchitra,3.0,3.0,2.0,Moderately Old,1400.0,0.0,0.0,semifurnished,Low,Low Floor
flat,tukkuguda,3.0,3.0,2.0,Under Construction,1530.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,manikonda,3.0,3.0,2.0,Old Property,1475.0,0.0,0.0,unfurnished,Low,Low Floor
flat,narsingi,3.0,3.0,1.0,Under Construction,2600.0,0.0,0.0,unfurnished,Low,High Floor
flat,east marredpally,2.0,2.0,3.0,Old Property,1100.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,new nagole colony,3.0,3.0,4.0,New Property,2200.0,0.0,1.0,unfurnished,Low,Low Floor
flat,nizampet,3.0,3.0,2.0,Old Property,1475.0,0.0,0.0,semifurnished,Low,Low Floor
